,date,state,fips,cases,deaths,New Cases,New Deaths,population
0,2020-01-21,Washington,53,1.3279239025240115e-07,0.0,,,7530552
1,2020-01-22,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
2,2020-01-23,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
3,2020-01-24,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
4,2020-01-25,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
5,2020-01-26,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
6,2020-01-27,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
7,2020-01-28,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
8,2020-01-29,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
9,2020-01-30,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
10,2020-01-31,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
11,2020-02-01,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
12,2020-02-02,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
13,2020-02-03,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
14,2020-02-04,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
15,2020-02-05,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
16,2020-02-06,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
17,2020-02-07,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
18,2020-02-08,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
19,2020-02-09,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
20,2020-02-10,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
21,2020-02-11,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
22,2020-02-12,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
23,2020-02-13,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
24,2020-02-14,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
25,2020-02-15,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
26,2020-02-16,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
27,2020-02-17,Washington,53,1.3279239025240115e-07,0.0,0.0,0.0,7530552
