,date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime,population
10,2014,Alabama,6.54537406710522e-06,2.0454293959703813e-07,5.5226593691200296e-05,2.0454293959703813e-07,0.00039169972932832806,1.656797810736009e-05,0.00046369884406648545,3.0681440939555722e-06,1.0227146979851906e-05,2.0045208080509737e-05,4888949
11,2015,Alabama,1.0636232859045983e-05,2.0454293959703813e-07,6.279468245629071e-05,6.136288187911144e-07,0.00042749474375780973,1.55452634093749e-05,0.0005060392325630723,4.704487610731877e-06,1.0431689919448945e-05,2.638603920801792e-05,4888949
12,2016,Alabama,8.999889342269678e-06,4.0908587919407626e-07,4.213584555698986e-05,6.136288187911144e-07,0.0001812250444829758,1.656797810736009e-05,0.0002403379540265198,4.0908587919407624e-06,8.386260523478564e-06,2.209063747648012e-05,4888949
13,2017,Alabama,6.1362881879111445e-06,4.0908587919407626e-07,4.377218907376616e-05,4.0908587919407626e-07,0.00014788454532865857,1.329529107380748e-05,0.00020536111135542628,4.0908587919407624e-06,6.954459946299297e-06,1.759069280534528e-05,4888949
14,2018,Alabama,3.886315852343725e-06,,3.313595621472018e-05,4.0908587919407626e-07,0.00020045208080509737,1.2272576375822289e-05,0.0002458606133956398,3.886315852343725e-06,4.499944671134839e-06,1.2681662255016364e-05,4888949
15,2019,Alabama,1.3908919892598594e-05,4.0908587919407626e-07,2.5363324510032728e-05,8.181717583881525e-07,0.0003503820555297263,2.086337983889789e-05,0.000397017845757851,3.0681440939555722e-06,5.52265936912003e-06,2.3317895114062347e-05,4888949
16,1991,Iowa,,,3.1640032614545617e-07,,6.328006522909123e-07,,9.492009784363686e-07,,,,3160553
17,1992,Iowa,0.0012586404974066247,0.00018161378720749186,0.0036123425236026735,9.17560945821823e-06,0.014669584721407931,0.0007992272238434223,0.01926276825606152,0.00013921614350400073,0.00023128863841232847,0.001638320888781172,3160553
18,1993,Iowa,0.001643066893673354,0.0002100898165605829,0.004415050151033695,1.676921728570918e-05,0.016754346470380342,0.00106120669389186,0.02244069313186648,0.00017876618427218276,0.00029678350592443793,0.002135385801155684,3160553
19,1994,Iowa,0.0016531917041100086,0.00021736702406192842,0.004445424582343659,1.2656013045818248e-05,0.01714921407740987,0.001223520061204479,0.02303552574501994,0.00020566021199454652,0.0003243103342990926,0.002195818263449466,3160553
20,1995,Iowa,0.001949658809708301,0.00021705062373578296,0.005495240864494283,1.7085617611854633e-05,0.02043598066540887,0.0016484456992178268,0.027796717852856763,0.00020534381166840106,0.00038759039952818386,0.0025596786385167405,3160553
21,1996,Iowa,0.0015876968365978992,0.000209457015908292,0.0050712644274593715,1.740201793800009e-05,0.019581383384489993,0.0014965735426680077,0.026358678370525666,0.00020407821036381925,0.0003315875418004381,0.0021407646067001566,3160553
22,1997,Iowa,0.0017148897677083726,0.00018066458622905548,0.005720517896709848,1.2972413371963704e-05,0.019322884318029154,0.0016462308969348086,0.026870297697902865,0.00020977341623443745,0.00034044675093251083,0.0022780823482472846,3160553
23,1998,Iowa,0.0017946226498970275,0.00020629301264683743,0.0051952933553083905,1.4870815328836441e-05,0.018653697628231516,0.0015459319935466989,0.02560121598973344,0.0002534366612425104,0.0003401303506063654,0.00240306047707474,3160553
24,1999,Iowa,0.0017939898492447366,0.00020471101101611014,0.004877311027532207,1.5187215654981898e-05,0.01890681788914788,0.00153612358343619,0.025524963511132388,0.0002819126905956015,0.000321146331037638,0.002412236086532958,3160553
25,2000,Iowa,0.0018654963229536097,0.0001892073950349828,0.004971914725049698,1.5503615981127353e-05,0.020176848798295743,0.001671542923026445,0.027009513841406867,0.00027716668570341963,0.00033475154506189264,0.0024929181697000494,3160553
26,2001,Iowa,0.001831008687403755,0.00019173859764414647,0.005038042393214099,1.5503615981127353e-05,0.02024297646646014,0.0017202685732528452,0.02719302603057123,0.0002847602935309106,0.0003568995678920746,0.0024881721648078673,3160553
27,2002,Iowa,0.001973072433843065,0.00020312900938538288,0.005525615295804247,1.4554415002690985e-05,0.021466496527664622,0.0018382858949051004,0.02903352672775935,0.00032905633919127445,0.000364809576045711,0.0026814927640827413,3160553
28,2003,Iowa,0.0019028315614387735,0.00019332059927487373,0.005313627077286791,1.582001630727281e-05,0.020263542487659596,0.0017680450225008091,0.02753853518672207,0.00031260352223171073,0.00035468476560905637,0.0025859398655868134,3160553
